"Project","ScanDate","DependencyName","DependencyPath","Description","License","Md5","Sha1","Identifiers","CPE","CVE","CWE","Vulnerability","Source","CVSSv2_Severity","CVSSv2_Score","CVSSv2","CVSSv3_BaseSeverity","CVSSv3_BaseScore","CVSSv3","CPE Confidence","Evidence Count","VendorProject","Product","Name","DateAdded","ShortDescription","RequiredAction","DueDate","Notes"
dependency-check scan: D:\github\tbo_task2\Java\spring-thymeleaf-crud-example,"Wed, 22 Nov 2023 11:00:58 GMT",semver:5.4.1,/src/src/main/resources/static/vendors/jquery-mask/package-lock.json?semver,"","","","",pkg:npm/semver@5.4.1,"",CVE-2022-25883,CWE-1333 Inefficient Regular Expression Complexity,"Versions of the package semver before 7.5.2 are vulnerable to Regular Expression Denial of Service (ReDoS) via the function new Range, when untrusted user data is provided as a range.  Sonatype's research suggests that this CVE's details differ from those defined at NVD. See https://ossindex.sonatype.org/vulnerability/CVE-2022-25883 for details",OSSINDEX,"","","",HIGH,7.5,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:N/I:N/A:H,HIGHEST,3,"","","","","","","",""
dependency-check scan: D:\github\tbo_task2\Java\spring-thymeleaf-crud-example,"Wed, 22 Nov 2023 11:00:58 GMT",semver:5.4.1,/src/src/main/resources/static/vendors/jquery-mask/package-lock.json?semver,"","","","",pkg:npm/semver@5.4.1,"",GHSA-c2qf-rxjj-qqgw,CWE-1333 Inefficient Regular Expression Complexity,"Versions of the package semver before 7.5.2 on the 7.x branch, before 6.3.1 on the 6.x branch, and all other versions before 5.7.2 are vulnerable to Regular Expression Denial of Service (ReDoS) via the function new Range, when untrusted user data is provided as a range.",NPM,"","","",MEDIUM,5.3,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:N/I:N/A:L,HIGHEST,3,"","","","","","","",""
dependency-check scan: D:\github\tbo_task2\Java\spring-thymeleaf-crud-example,"Wed, 22 Nov 2023 11:00:58 GMT",shelljs:0.3.0,/src/src/main/resources/static/vendors/jquery-mask/package-lock.json?shelljs,"","","","",pkg:npm/shelljs@0.3.0,"",CVE-2022-0144,CWE-269 Improper Privilege Management,shelljs is vulnerable to Improper Privilege Management,OSSINDEX,"","","",HIGH,7.1,CVSS:3.1/AV:L/AC:L/PR:L/UI:N/S:U/C:H/I:N/A:H,HIGHEST,3,"","","","","","","",""
dependency-check scan: D:\github\tbo_task2\Java\spring-thymeleaf-crud-example,"Wed, 22 Nov 2023 11:00:58 GMT",shelljs:0.3.0,/src/src/main/resources/static/vendors/jquery-mask/package-lock.json?shelljs,"","","","",pkg:npm/shelljs@0.3.0,"",GHSA-4rq4-32rv-6wp6,CWE-269 Improper Privilege Management,shelljs is vulnerable to Improper Privilege Management,NPM,"","","",HIGH,7.1,CVSS:3.0/AV:L/AC:L/PR:L/UI:N/S:U/C:H/I:N/A:H,HIGHEST,3,"","","","","","","",""
dependency-check scan: D:\github\tbo_task2\Java\spring-thymeleaf-crud-example,"Wed, 22 Nov 2023 11:00:58 GMT",shelljs:0.3.0,/src/src/main/resources/static/vendors/jquery-mask/package-lock.json?shelljs,"","","","",pkg:npm/shelljs@0.3.0,"",GHSA-64g7-mvw6-v9qj,CWE-269 Improper Privilege Management,"### Impact Output from the synchronous version of `shell.exec()` may be visible to other users on the same system. You may be affected if you execute `shell.exec()` in multi-user Mac, Linux, or WSL environments, or if you execute `shell.exec()` as the root user.  Other shelljs functions (including the asynchronous version of `shell.exec()`) are not impacted.  ### Patches Patched in shelljs 0.8.5  ### Workarounds Recommended action is to upgrade to 0.8.5.  ### References https://huntr.dev/bounties/50996581-c08e-4eed-a90e-c0bac082679c/  ### For more information If you have any questions or comments about this advisory: * Ask at https://github.com/shelljs/shelljs/issues/1058 * Open an issue at https://github.com/shelljs/shelljs/issues/new",NPM,"","","","","","",HIGHEST,3,"","","","","","","",""
dependency-check scan: D:\github\tbo_task2\Java\spring-thymeleaf-crud-example,"Wed, 22 Nov 2023 11:00:58 GMT",tough-cookie:2.4.3,/src/src/main/resources/static/vendors/jquery-mask/package-lock.json?tough-cookie,"","","","",pkg:npm/tough-cookie@2.4.3,"",CVE-2023-26136,CWE-1321 Improperly Controlled Modification of Object Prototype Attributes ('Prototype Pollution'),Versions of the package tough-cookie before 4.1.3 are vulnerable to Prototype Pollution due to improper handling of Cookies when using CookieJar in rejectPublicSuffixes=false mode. This issue arises from the manner in which the objects are initialized.,OSSINDEX,"","","",CRITICAL,9.8,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:H/A:H,HIGHEST,3,"","","","","","","",""
dependency-check scan: D:\github\tbo_task2\Java\spring-thymeleaf-crud-example,"Wed, 22 Nov 2023 11:00:58 GMT",tough-cookie:2.4.3,/src/src/main/resources/static/vendors/jquery-mask/package-lock.json?tough-cookie,"","","","",pkg:npm/tough-cookie@2.4.3,"",GHSA-72xf-g2v4-qvf3,CWE-1321 Improperly Controlled Modification of Object Prototype Attributes ('Prototype Pollution'),Versions of the package tough-cookie before 4.1.3 are vulnerable to Prototype Pollution due to improper handling of Cookies when using CookieJar in `rejectPublicSuffixes=false` mode. This issue arises from the manner in which the objects are initialized.,NPM,"","","",MEDIUM,6.5,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:L/I:L/A:N,HIGHEST,3,"","","","","","","",""
dependency-check scan: D:\github\tbo_task2\Java\spring-thymeleaf-crud-example,"Wed, 22 Nov 2023 11:00:58 GMT",trim-newlines:1.0.0,/src/src/main/resources/static/vendors/jquery-mask/package-lock.json?trim-newlines,"","","","",pkg:npm/trim-newlines@1.0.0,"",CVE-2021-33623,CWE-400 Uncontrolled Resource Consumption,The trim-newlines package before 3.0.1 and 4.x before 4.0.1 for Node.js has an issue related to regular expression denial-of-service (ReDoS) for the .end() method.,OSSINDEX,"","","",HIGH,7.5,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:N/I:N/A:H,HIGHEST,3,"","","","","","","",""
dependency-check scan: D:\github\tbo_task2\Java\spring-thymeleaf-crud-example,"Wed, 22 Nov 2023 11:00:58 GMT",trim-newlines:1.0.0,/src/src/main/resources/static/vendors/jquery-mask/package-lock.json?trim-newlines,"","","","",pkg:npm/trim-newlines@1.0.0,"",GHSA-7p7h-4mm5-852v,CWE-400 Uncontrolled Resource Consumption,@rkesters/gnuplot is an easy to use node module to draw charts using gnuplot and ps2pdf. The trim-newlines package before 3.0.1 and 4.x before 4.0.1 for Node.js has an issue related to regular expression denial-of-service (ReDoS) for the `.end()` method.,NPM,"","","",HIGH,7.5,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:N/I:N/A:H,HIGHEST,3,"","","","","","","",""
dependency-check scan: D:\github\tbo_task2\Java\spring-thymeleaf-crud-example,"Wed, 22 Nov 2023 11:00:58 GMT",ws:6.2.1,/src/src/main/resources/static/vendors/jquery-mask/package-lock.json?ws,"","","","",pkg:npm/ws@6.2.1,"",CVE-2021-32640,CWE-400 Uncontrolled Resource Consumption,"ws is an open source WebSocket client and server library for Node.js. A specially crafted value of the `Sec-Websocket-Protocol` header can be used to significantly slow down a ws server. The vulnerability has been fixed in ws@7.4.6 (https://github.com/websockets/ws/commit/00c425ec77993773d823f018f64a5c44e17023ff). In vulnerable versions of ws, the issue can be mitigated by reducing the maximum allowed length of the request headers using the [`--max-http-header-size=size`](https://nodejs.org/api/cli.html#cli_max_http_header_size_size) and/or the [`maxHeaderSize`](https://nodejs.org/api/http.html#http_http_createserver_options_requestlistener) options.",OSSINDEX,"","","",MEDIUM,5.3,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:N/I:N/A:L,HIGHEST,3,"","","","","","","",""
dependency-check scan: D:\github\tbo_task2\Java\spring-thymeleaf-crud-example,"Wed, 22 Nov 2023 11:00:58 GMT",ws:6.2.1,/src/src/main/resources/static/vendors/jquery-mask/package-lock.json?ws,"","","","",pkg:npm/ws@6.2.1,"",GHSA-6fc8-4gx4-v693,"CWE-345 Insufficient Verification of Data Authenticity, CWE-400 Uncontrolled Resource Consumption","### Impact  A specially crafted value of the `Sec-Websocket-Protocol` header can be used to significantly slow down a ws server.  ### Proof of concept  ```js for (const length of [1000, 2000, 4000, 8000, 16000, 32000]) {   const value = 'b' + ' '.repeat(length) + 'x';   const start = process.hrtime.bigint();    value.trim().split(/ *, */);    const end = process.hrtime.bigint();    console.log('length = %d, time = %f ns', length, end - start); } ```  ### Patches  The vulnerability was fixed in ws@7.4.6 (https://github.com/websockets/ws/commit/00c425ec77993773d823f018f64a5c44e17023ff) and backported to ws@6.2.2 (https://github.com/websockets/ws/commit/78c676d2a1acefbc05292e9f7ea0a9457704bf1b) and ws@5.2.3 (https://github.com/websockets/ws/commit/76d47c1479002022a3e4357b3c9f0e23a68d4cd2).  ### Workarounds  In vulnerable versions of ws, the issue can be mitigated by reducing the maximum allowed length of the request headers using the [`--max-http-header-size=size`](https://nodejs.org/api/cli.html#cli_max_http_header_size_size) and/or the [`maxHeaderSize`](https://nodejs.org/api/http.html#http_http_createserver_options_requestlistener) options.  ### Credits  The vulnerability was responsibly disclosed along with a fix in private by [Robert McLaughlin](https://github.com/robmcl4) from University of California, Santa Barbara.",NPM,"","","",MEDIUM,5.3,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:N/I:N/A:L,HIGHEST,3,"","","","","","","",""
